# QGIS Generated Color Map Export File
INTERPOLATION:INTERPOLATED
-8,23,82,119,255,Oct -1
-5,56,140,168,255,Nov -1
-2,105,174,197,255,Dec -1
2,33,199,214,255,Jan
5,37,226,243,255,Feb
8,183,241,165,255,Mar
11,150,239,77,255,Apr
14,52,184,52,255,May
17,33,115,32,255,Jun
20,255,255,191,255,Jul
23,248,231,40,255,Aug
26,239,193,109,255,Sep
29,246,149,21,255,Oct
32,222,133,131,255,Nov
35,229,30,36,255,Dec
38,162,22,48,255,Jan +1
41,119,17,36,255,Feb +1
44,226,40,173,255,Mar +1
47,157,55,130,255,Apr +1
250,134,120,134,255,No Season
